snr_key,id,name,ra,dec,klass,size_maj_arcmin,size_min_arcmin,d_arcmin,r_arcmin,d_pc,pa_deg,shape,xray_rate_ctss,xray_rate_err,xray_rate_is_upper_limit,sn_type,ovality,eccentricity,ref_discovery_code,ref_discovery,ref_confidence,ref_confirm_code,ref_confirm,alias,lx_1e35,nh_1e21,age_kyr,age_err_kyr,alpha_radio,alpha_radio_err,s_1ghz_jy,e0_1e51_erg,age_l17_yr,n0_cm3,in_m16,in_b17,in_l17,in_y21,in_k22,in_b23,thesis_note,dataset_version,hint_spec_m16,sn_type_m16,sn_type_b17,age_b17_kyr,age_b17_err_kyr,age_b17_ref,sigma_1ghz_b17_1e-20,sii_ha_y21,hr1,hr1_err,hr2,hr2_err,hr3,hr3_err,nh_z26_1e22,kt_z26_kev,tau_z26_1e11,fx_z26_1e-14,in_z26,age_k22_kyr,e0_k22_1e51,n0_k22_cm3
c12,J0459-6757,J0459-6757,74.9791666666667,-67.9502777777778,SNR_candidate,4.4,3.8,4.1,2.05,59.63204,357,ellipse,0.012,0.0098,False,,0.146341463414634,0.504115295745883,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,4,,,,,,,,,0.42,1.69,0.27,0.63,,,,,,,False,,,
c13,J0459-7008b,J0459-7008b,74.91125,-70.1436111111111,SNR_candidate,3.8,3.2,3.5,1.75,50.9054,150,ellipse,0.173,0.014,False,,0.171428571428571,0.5393131982084,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,4,,,,,,,,,-0.32,0.07,-0.8,0.12,,,,,,,False,,,
c14,J0502-6739,J0502-6739,75.5104166666667,-67.6586111111111,SNR_candidate,6.4,5.6,6,3,87.2664,60,ellipse,,,True,,0.133333333333333,0.484122918275927,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,4,,,,,,,,0.6,,,,,,,,,,,False,,,
c15,J0504-6901,J0504-6901,76.02,-69.02,SNR_candidate,8.6,8.2,8.4,4.2,122.17296,22,ellipse,0.047,0.0248,False,,0.0476190476190476,0.301429799925947,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,4,,,,,,,,,-0.66,0.33,,,,,,,,,False,,,
c16,J0506-6509,J0506-6509,76.7045833333333,-65.1552777777778,SNR_candidate,6.4,6.2,6.3,3.15,91.62972,170,ellipse,,,True,,0.0317460317460317,0.248039185412306,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,4,,,,,,,,0.6,,,,,,,,,,,False,,,
c17,J0507-7143,J0507-7143,76.9616666666667,-71.7113888888889,SNR_candidate,4.8,3.8,4.3,2.15,62.54092,359,ellipse,0.056,0.0141,False,Ia?,0.232558139534884,0.610953262442299,Za24,2024A&A...692A.237Z,ok,,,4eRASSU J050750.8-714241,,,,,,,,,,,False,False,False,False,False,False,"Z24-Candidate, HR+SFH suggest type Ia",4,,,,,,,,,0.58,0.22,,,,,,,,,False,,,
c18,J0507-7110,J0507-7110,76.8970833333333,-71.1708333333333,SNR_candidate,7.4,6,6.7,3.35,97.44748,0,ellipse,,,True,,0.208955223880597,0.585308319667776,B17,2017ApJS..230....2B,ok,,,,,,,,,,,,,,False,True,False,False,False,False,B17-Candidate_new,4,,,,,,,,,,,,,,,,,,,False,,,
c19,J0508-6928,J0508-6928,77.19375,-69.4711111111111,SNR_candidate,5.5,5.5,5.5,2.75,79.9942,0,circle,,,True,,0,0,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,4,,,,,,,,0.7,,,,,,,,,,,False,,,
c20,J0509-6402,J0509-6402,77.3145833333333,-64.0352777777778,SNR_candidate,5.4,4,4.7,2.35,68.35868,50,ellipse,0.031,0.0076,False,,0.297872340425532,0.671791005452484,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,4,,,,,,,,0.7,-0.1,0.08,-0.2,0.1,-0.13,0.14,,,,,False,,,
c21,J0510-6853,J0510-6853,77.6179166666667,-68.8913888888889,SNR_candidate,3.7,3.7,3.7,1.85,53.81428,0,circle,0.072,0.0113,False,,0,0,Za24,2024A&A...692A.237Z,ok,,,4eRASSU J051028.3-685329,,,,,,,,,,,False,False,False,False,False,False,"Z24-Candidate, HR suggest CC, SFH low",4,,,,,,,,,0.29,0.15,-0.7,0.33,-0.09,0.97,,,,,False,,,
